address_state,emp_title,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,purpose,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,emp_years,grade_numeric,sub_grade_numeric,issue_year,issue_month,issue_day,issue_weekday,last_credit_pull_year,last_credit_pull_month,last_credit_pull_day,last_credit_pull_weekday,last_payment_year,last_payment_month,last_payment_day,last_payment_weekday,next_payment_year,next_payment_month,next_payment_day,next_payment_weekday,term_months
KS,Capwest Mortgage,MORTGAGE,10-11-2021,16-05-2021,12-07-2021,Charged Off,12-08-2021,credit card,Verified,120000.0,0.1566,365.19,0.1706,19200,27,7302,0,4,4.6,2021,11,10,2,2021,5,16,6,2021,7,12,0,2021,8,12,3,60
TX,Dell,MORTGAGE,10-08-2021,11-02-2021,11-03-2021,Fully Paid,11-04-2021,home improvement,Verified,90000.0,0.0963,219.88,0.1149,10000,24,10467,2,1,1.6,2021,8,10,1,2021,2,11,3,2021,3,11,3,2021,4,11,6,60
FL,Medvance,RENT,10-02-2021,16-05-2021,13-03-2021,Fully Paid,13-04-2021,credit card,Not Verified,43000.0,0.1969,450.44,0.0788,14400,20,16216,2,0,0.8,2021,2,10,2,2021,5,16,6,2021,3,13,5,2021,4,13,1,36
NV,Veoila Transportation,MORTGAGE,11-08-2021,16-05-2021,16-05-2021,Current,16-06-2021,car,Not Verified,48000.0,0.191,208.18,0.0999,9800,25,11855,10,1,1.0,2021,8,11,2,2021,5,16,6,2021,5,16,6,2021,6,16,2,60
FL,Stardust Video & Coffee,RENT,11-08-2021,14-05-2021,14-05-2021,Fully Paid,14-06-2021,Debt consolidation,Not Verified,28550.0,0.1786,130.18,0.1059,4000,18,4675,6,1,1.2,2021,8,11,2,2021,5,14,4,2021,5,14,4,2021,6,14,0,36
TX,Zachry Industrial Incorporation,RENT,11-10-2021,16-05-2021,16-05-2021,Current,16-06-2021,Debt consolidation,Verified,52000.0,0.1777,734.69,0.2274,26200,25,39779,4,6,6.0,2021,10,11,0,2021,5,16,6,2021,5,16,6,2021,6,16,2,60
GA,Dublin parole office,MORTGAGE,11-09-2021,16-05-2021,12-07-2021,Fully Paid,12-08-2021,Debt consolidation,Not Verified,42000.0,0.1043,254.44,0.0991,12000,61,12845,10,1,1.0,2021,9,11,5,2021,5,16,6,2021,7,12,0,2021,8,12,3,60
DC,Bulletin News,OWN,09-12-2021,16-04-2021,12-05-2021,Fully Paid,12-06-2021,Debt consolidation,Not Verified,125000.0,0.0762,433.01,0.1114,13200,40,15480,7,1,1.0,2021,12,9,3,2021,4,16,4,2021,5,12,2,2021,6,12,5,36
CA,bp west coast llc,MORTGAGE,11-04-2021,16-01-2021,14-04-2021,Fully Paid,14-05-2021,major purchase,Verified,112000.0,0.0742,277.98,0.138,12000,28,15739,3,2,2.6,2021,4,11,6,2021,1,16,5,2021,4,14,2,2021,5,14,4,60
MN,Essentia health Duluth Clinic,MORTGAGE,11-03-2021,16-05-2021,13-04-2021,Charged Off,13-05-2021,major purchase,Source Verified,35000.0,0.18,124.04,0.0729,4000,27,2972,7,0,0.6,2021,3,11,3,2021,5,16,6,2021,4,13,1,2021,5,13,3,36
CA,Midwest Insurance Company,MORTGAGE,09-10-2021,16-05-2021,10-04-2021,Charged Off,10-05-2021,Debt consolidation,Verified,107000.0,0.1705,669.26,0.1322,19800,35,4624,1,2,2.2,2021,10,9,5,2021,5,16,6,2021,4,10,5,2021,5,10,0,36
CA,Silicon Valley Bank,RENT,10-08-2021,16-05-2021,12-11-2021,Fully Paid,12-12-2021,credit card,Not Verified,55000.0,0.1381,310.76,0.1472,9000,22,10987,2,2,2.8,2021,8,10,1,2021,5,16,6,2021,11,12,4,2021,12,12,6,36
MA,r.murphy co.,RENT,11-11-2021,14-12-2021,12-07-2021,Charged Off,12-08-2021,Debt consolidation,Not Verified,48000.0,0.1863,521.97,0.1527,15000,17,4372,10,2,2.6,2021,11,11,3,2021,12,14,1,2021,7,12,0,2021,8,12,3,36
NV,NORTH LAS VEGAS POLICE DEPARTMENT,MORTGAGE,10-03-2021,11-03-2021,11-03-2021,Fully Paid,11-04-2021,Debt consolidation,Not Verified,53184.0,0.1284,441.93,0.1099,13500,16,14695,10,1,1.6,2021,3,10,2,2021,3,11,3,2021,3,11,3,2021,4,11,6,36
AZ,Bank of America,MORTGAGE,10-09-2021,13-10-2021,13-10-2021,Fully Paid,13-11-2021,Debt consolidation,Verified,77256.0,0.2013,331.48,0.1186,10000,21,11934,10,1,1.8,2021,9,10,4,2021,10,13,2,2021,10,13,2,2021,11,13,5,36
PA,"Blue Seal Feeds, a division of Muscatine",OWN,11-01-2021,16-04-2021,13-10-2021,Fully Paid,13-11-2021,Debt consolidation,Verified,117500.0,0.1286,609.99,0.0617,20000,27,21941,1,0,0.4,2021,1,11,0,2021,4,16,4,2021,10,13,2,2021,11,13,5,36
CO,ShearsAdkins Architects,MORTGAGE,09-01-2021,13-11-2021,12-01-2021,Fully Paid,12-02-2021,Debt consolidation,Not Verified,56500.0,0.127,138.77,0.1505,4000,15,4995,2,3,3.6,2021,1,9,5,2021,11,13,5,2021,1,12,1,2021,2,12,4,36
MD,Department of Defense,RENT,10-01-2021,15-04-2021,11-12-2021,Fully Paid,11-01-2022,house,Verified,63000.0,0.107,411.67,0.1426,12000,18,14337,1,2,2.8,2021,1,10,6,2021,4,15,3,2021,12,11,5,2022,1,11,1,36
TX,Katy ISD,RENT,11-05-2021,15-05-2021,14-05-2021,Fully Paid,14-06-2021,Debt consolidation,Not Verified,52000.0,0.2158,398.52,0.1199,12000,21,14346,10,1,1.8,2021,5,11,1,2021,5,15,5,2021,5,14,4,2021,6,14,0,36
NY,City College Of New York,RENT,10-10-2021,15-02-2021,12-01-2021,Fully Paid,12-02-2021,Debt consolidation,Source Verified,70000.0,0.1156,368.01,0.0654,12000,15,12762,8,0,0.6,2021,10,10,6,2021,2,15,0,2021,1,12,1,2021,2,12,4,36
NY,RCM Inc.,RENT,09-02-2021,12-11-2021,10-03-2021,Fully Paid,10-04-2021,other,Not Verified,25596.0,0.0825,99.95,0.1221,3000,5,3261,10,1,1.8,2021,2,9,1,2021,11,12,4,2021,3,10,2,2021,4,10,5,36
NJ,"City of New York,HRA MIS",RENT,11-09-2021,13-05-2021,13-05-2021,Fully Paid,13-06-2021,house,Not Verified,105000.0,0.0735,426.1,0.0603,14000,32,14883,6,0,0.0,2021,9,11,5,2021,5,13,3,2021,5,13,3,2021,6,13,6,36
NJ,trenton iron & metal,MORTGAGE,10-04-2021,13-04-2021,13-04-2021,Fully Paid,13-05-2021,other,Not Verified,48000.0,0.1038,211.64,0.1062,6500,8,7620,7,1,1.4,2021,4,10,5,2021,4,13,1,2021,4,13,1,2021,5,13,3,36
CO,Allstate Corp.,RENT,09-02-2021,12-02-2021,11-10-2021,Fully Paid,11-11-2021,other,Verified,53000.0,0.1542,111.82,0.0932,3500,20,4012,1,0,0.6,2021,2,9,1,2021,2,12,4,2021,10,11,0,2021,11,11,3,36
CA,Harcos Labs,RENT,11-01-2021,14-11-2021,14-10-2021,Fully Paid,14-11-2021,Debt consolidation,Not Verified,28800.0,0.1975,152.59,0.1111,7000,15,9010,2,1,1.8,2021,1,11,0,2021,11,14,6,2021,10,14,3,2021,11,14,6,60
UT,State of Utah,RENT,10-08-2021,16-05-2021,14-07-2021,Fully Paid,14-08-2021,Debt consolidation,Verified,105000.0,0.081,519.88,0.1682,21000,19,30481,10,4,4.2,2021,8,10,1,2021,5,16,6,2021,7,14,2,2021,8,14,5,60
WI,Columbus Community Hospital,MORTGAGE,11-05-2021,16-05-2021,16-05-2021,Current,16-06-2021,Debt consolidation,Source Verified,83000.0,0.1768,280.4,0.0999,13200,38,16527,10,1,1.0,2021,5,11,1,2021,5,16,6,2021,5,16,6,2021,6,16,2,60
CA,paychex,RENT,09-12-2021,15-09-2021,12-11-2021,Fully Paid,12-12-2021,credit card,Verified,120000.0,0.0798,528.31,0.1426,15400,22,19013,9,2,2.8,2021,12,9,3,2021,9,15,2,2021,11,12,4,2021,12,12,6,36
CA,Braemac CA,RENT,11-12-2021,16-03-2021,13-03-2021,Fully Paid,13-04-2021,Debt consolidation,Source Verified,38000.0,0.2132,426.47,0.1677,12000,13,14112,6,3,3.2,2021,12,11,5,2021,3,16,1,2021,3,13,5,2021,4,13,1,36
GA,Georgia Power,MORTGAGE,11-04-2021,15-07-2021,12-09-2021,Fully Paid,12-10-2021,home improvement,Verified,61200.0,0.0008,653.92,0.1111,30000,11,34225,10,1,1.8,2021,4,11,6,2021,7,15,3,2021,9,12,6,2021,10,12,1,60
CA,XYPRO Technology Corporation,RENT,10-10-2021,16-04-2021,13-03-2021,Fully Paid,13-04-2021,credit card,Source Verified,105000.0,0.1478,193.58,0.0999,6000,24,6912,4,1,1.6,2021,10,10,6,2021,4,16,4,2021,3,13,5,2021,4,13,1,36
KS,NCRA,MORTGAGE,11-09-2021,16-05-2021,14-11-2021,Fully Paid,14-12-2021,credit card,Verified,85000.0,0.1906,475.99,0.1991,18000,32,26902,1,4,4.6,2021,9,11,5,2021,5,16,6,2021,11,14,6,2021,12,14,1,60
MA,Boston University,RENT,11-11-2021,14-05-2021,13-05-2021,Fully Paid,13-06-2021,Debt consolidation,Source Verified,75000.0,0.0589,112.62,0.0603,3700,16,3897,2,0,0.0,2021,11,11,3,2021,5,14,4,2021,5,13,3,2021,6,13,6,36
CO,Dividend Capital TRT,RENT,11-09-2021,16-01-2021,13-10-2021,Fully Paid,13-11-2021,credit card,Verified,50000.0,0.1814,519.15,0.1903,20000,18,25842,1,4,4.2,2021,9,11,5,2021,1,16,5,2021,10,13,2,2021,11,13,5,60
OH,TGI Fridays,OWN,11-05-2021,12-03-2021,11-10-2021,Charged Off,11-11-2021,medical,Not Verified,25000.0,0.0768,163.67,0.1099,5000,19,2402,0,1,1.4,2021,5,11,1,2021,3,12,4,2021,10,11,0,2021,11,11,3,36
CA,Big Lots Inc.,RENT,09-09-2021,14-01-2021,12-09-2021,Fully Paid,12-10-2021,Debt consolidation,Verified,52000.0,0.1565,207.87,0.1496,6000,12,7483,4,3,3.2,2021,9,9,3,2021,1,14,3,2021,9,12,6,2021,10,12,1,36
PA,Frederick Ward Associates,MORTGAGE,11-08-2021,16-05-2021,12-04-2021,Fully Paid,12-05-2021,Debt consolidation,Not Verified,60000.0,0.201,154.37,0.0599,5075,33,5260,3,0,0.2,2021,8,11,2,2021,5,16,6,2021,4,12,0,2021,5,12,2,36
AZ,Dept Homeland Security,RENT,09-06-2021,16-05-2021,12-04-2021,Charged Off,12-05-2021,Debt consolidation,Verified,93000.0,0.1476,748.17,0.1695,21000,22,26701,10,4,4.8,2021,6,9,2,2021,5,16,6,2021,4,12,0,2021,5,12,2,36
CT,ING,MORTGAGE,11-09-2021,16-04-2021,11-10-2021,Fully Paid,11-11-2021,home improvement,Verified,45000.0,0.1902,234.68,0.079,7500,13,7550,6,0,0.6,2021,9,11,5,2021,4,16,4,2021,10,11,0,2021,11,11,3,36
CT,groton board of ed,OWN,10-08-2021,13-08-2021,13-09-2021,Fully Paid,13-10-2021,home improvement,Not Verified,14400.0,0.1607,103.59,0.1472,3000,35,3729,10,2,2.8,2021,8,10,1,2021,8,13,4,2021,9,13,0,2021,10,13,2,36
NY,GLASS & SHIECHEL CPA LLP,OWN,11-10-2021,14-08-2021,14-07-2021,Fully Paid,14-08-2021,Debt consolidation,Source Verified,65000.0,0.207,496.14,0.1171,15000,56,17832,4,1,1.4,2021,10,11,0,2021,8,14,5,2021,7,14,2,2021,8,14,5,36
IL,HDR,RENT,11-08-2021,15-03-2021,14-02-2021,Fully Paid,14-03-2021,small business,Source Verified,56000.0,0.042,104.75,0.1099,3200,5,3748,0,1,1.4,2021,8,11,2,2021,3,15,0,2021,2,14,6,2021,3,14,6,36
OK,Wilmes Chevrolet Buick GMC,MORTGAGE,11-08-2021,16-04-2021,16-04-2021,Fully Paid,16-05-2021,Debt consolidation,Source Verified,110000.0,0.2153,614.55,0.1839,24000,50,36462,10,4,4.2,2021,8,11,2,2021,4,16,4,2021,4,16,4,2021,5,16,6,60
NY,APR,OWN,10-12-2021,15-10-2021,12-06-2021,Fully Paid,12-07-2021,Debt consolidation,Not Verified,40000.0,0.1164,218.94,0.0691,14000,14,7674,2,0,0.8,2021,12,10,4,2021,10,15,4,2021,6,12,5,2021,7,12,0,36
NY,inn credible caterers,RENT,11-07-2021,15-03-2021,14-07-2021,Fully Paid,14-08-2021,Debt consolidation,Verified,97440.0,0.1459,466.53,0.0749,15000,36,16795,9,0,0.6,2021,7,11,6,2021,3,15,0,2021,7,14,2,2021,8,14,5,36
NV,Walmart Super Center,RENT,11-04-2021,13-11-2021,13-10-2021,Fully Paid,13-11-2021,major purchase,Source Verified,26400.0,0.2264,49.19,0.1111,1500,15,1744,10,1,1.8,2021,4,11,6,2021,11,13,5,2021,10,13,2,2021,11,13,5,36
IL,Winfield Pathology Consultants,MORTGAGE,11-12-2021,12-09-2021,12-09-2021,Fully Paid,12-10-2021,credit card,Verified,92000.0,0.2944,483.38,0.0991,15000,31,15824,2,1,1.0,2021,12,11,5,2021,9,12,6,2021,9,12,6,2021,10,12,1,36
IL,Best Buy,RENT,10-04-2021,12-10-2021,12-10-2021,Fully Paid,12-11-2021,major purchase,Not Verified,32000.0,0.0349,144.47,0.1793,4000,4,5143,2,4,4.8,2021,4,10,5,2021,10,12,1,2021,10,12,1,2021,11,12,4,36
OH,Mahershalash LLC dba Frullati cafe,MORTGAGE,09-04-2021,16-05-2021,10-01-2021,Charged Off,10-02-2021,car,Verified,69996.0,0.1262,374.29,0.0768,12000,35,3151,5,0,0.2,2021,4,9,4,2021,5,16,6,2021,1,10,6,2021,2,10,2,36
PA,GSI Commerce Inc,RENT,10-08-2021,12-08-2021,12-07-2021,Fully Paid,12-08-2021,other,Verified,83004.0,0.0914,405.66,0.1323,12000,18,13366,4,2,2.0,2021,8,10,1,2021,8,12,3,2021,7,12,0,2021,8,12,3,36
UT,Call Assistant,RENT,11-02-2021,14-02-2021,14-02-2021,Fully Paid,14-03-2021,Debt consolidation,Not Verified,21000.0,0.1371,202.67,0.0766,6500,21,7297,0,0,0.8,2021,2,11,3,2021,2,14,6,2021,2,14,6,2021,3,14,6,36
FL,Naval Surface Warfare Center,MORTGAGE,10-05-2021,14-12-2021,14-08-2021,Charged Off,14-09-2021,Debt consolidation,Not Verified,122000.0,0.149,298.9,0.1496,15000,29,15247,3,3,3.2,2021,5,10,0,2021,12,14,1,2021,8,14,5,2021,9,14,1,60
IL,Armstrong Teasdale LLP,MORTGAGE,09-07-2021,12-08-2021,12-08-2021,Fully Paid,12-09-2021,Debt consolidation,Not Verified,53004.0,0.1087,481.42,0.0963,15000,15,17331,2,0,0.8,2021,7,9,4,2021,8,12,3,2021,8,12,3,2021,9,12,6,36
PA,SHHC,RENT,09-07-2021,11-09-2021,11-09-2021,Fully Paid,11-10-2021,Debt consolidation,Not Verified,35028.0,0.2494,169.62,0.1347,5000,19,5986,3,2,2.6,2021,7,9,4,2021,9,11,5,2021,9,11,5,2021,10,11,0,36
NJ,American Express,OWN,11-08-2021,16-04-2021,14-08-2021,Fully Paid,14-09-2021,Debt consolidation,Source Verified,62000.0,0.1477,691.37,0.1839,27000,28,38685,0,4,4.2,2021,8,11,2,2021,4,16,4,2021,8,14,5,2021,9,14,1,60
GA,exceptional restaurant cop.,RENT,10-10-2021,15-10-2021,15-11-2021,Fully Paid,15-12-2021,vacation,Source Verified,26400.0,0.2365,143.41,0.1521,6000,16,8604,4,3,3.2,2021,10,10,6,2021,10,15,4,2021,11,15,0,2021,12,15,2,60
NJ,Citi,MORTGAGE,09-08-2021,10-10-2021,10-10-2021,Fully Paid,10-11-2021,major purchase,Verified,75000.0,0.0483,284.5,0.0859,9000,21,9610,6,0,0.6,2021,8,9,0,2021,10,10,6,2021,10,10,6,2021,11,10,2,36
NY,Fidelity Investments,RENT,11-09-2021,14-11-2021,14-10-2021,Fully Paid,14-11-2021,other,Source Verified,65000.0,0.173,115.03,0.1349,5000,39,6549,10,2,2.0,2021,9,11,5,2021,11,14,6,2021,10,14,3,2021,11,14,6,60
NJ,JCG,RENT,10-11-2021,16-05-2021,15-11-2021,Fully Paid,15-12-2021,credit card,Verified,105000.0,0.2429,252.37,0.1112,17600,22,15142,4,1,1.4,2021,11,10,2,2021,5,16,6,2021,11,15,0,2021,12,15,2,60
WY,Lincare Inc.,MORTGAGE,10-03-2021,16-05-2021,11-01-2021,Fully Paid,11-02-2021,home improvement,Not Verified,39600.0,0.126,147.7,0.0676,4800,24,5021,10,0,0.2,2021,3,10,2,2021,5,16,6,2021,1,11,0,2021,2,11,3,36
MA,Dorchester House Health center,MORTGAGE,09-08-2021,16-03-2021,10-03-2021,Fully Paid,10-04-2021,other,Not Verified,83500.0,0.1148,205.47,0.0859,6500,11,6655,0,0,0.6,2021,8,9,0,2021,3,16,1,2021,3,10,2,2021,4,10,5,36
NM,United States Air Force,MORTGAGE,11-11-2021,16-05-2021,14-08-2021,Fully Paid,14-09-2021,other,Source Verified,109200.0,0.1276,71.97,0.079,2300,24,2588,10,0,0.6,2021,11,11,3,2021,5,16,6,2021,8,14,5,2021,9,14,1,36
WA,Tyson,MORTGAGE,10-07-2021,16-05-2021,11-05-2021,Charged Off,11-06-2021,Debt consolidation,Verified,36240.0,0.0947,283.99,0.1793,11200,13,2832,3,4,4.8,2021,7,10,5,2021,5,16,6,2021,5,11,1,2021,6,11,4,60
CA,T-Mobile USA,RENT,10-04-2021,16-05-2021,13-05-2021,Fully Paid,13-06-2021,other,Verified,118000.0,0.1073,309.4,0.0714,10000,15,11139,5,0,0.4,2021,4,10,5,2021,5,16,6,2021,5,13,3,2021,6,13,6,36
WA,Levitz Furniture,RENT,07-11-2021,11-12-2021,11-12-2021,Charged Off,11-01-2022,Debt consolidation,Not Verified,120000.0,0.1697,505.16,0.1091,15450,39,12699,7,2,2.4,2021,11,7,6,2021,12,11,5,2021,12,11,5,2022,1,11,1,36
NY,Coca-Cola North America,RENT,09-10-2021,16-05-2021,12-10-2021,Fully Paid,12-11-2021,Debt consolidation,Not Verified,99996.0,0.1404,67.94,0.1357,2000,17,2446,10,2,2.4,2021,10,9,5,2021,5,16,6,2021,10,12,1,2021,11,12,4,36
NC,k&s tool and manufacturing co.,MORTGAGE,11-06-2021,16-05-2021,13-08-2021,Charged Off,13-09-2021,Debt consolidation,Not Verified,57000.0,0.1196,401.87,0.1749,16000,15,10334,5,3,3.8,2021,6,11,4,2021,5,16,6,2021,8,13,4,2021,9,13,0,60
OH,"Van Devere, Inc.",MORTGAGE,10-08-2021,15-11-2021,15-09-2021,Fully Paid,15-10-2021,Debt consolidation,Verified,72000.0,0.1767,435.71,0.1682,17600,24,26142,3,4,4.2,2021,8,10,1,2021,11,15,0,2021,9,15,2,2021,10,15,4,60
CA,Advanced Sterillization Products,MORTGAGE,11-03-2021,14-07-2021,14-03-2021,Fully Paid,14-04-2021,Debt consolidation,Verified,81500.0,0.1813,484.01,0.1,15000,24,17424,4,1,1.2,2021,3,11,3,2021,7,14,2,2021,3,14,6,2021,4,14,2,36
OH,Cortape Inc.,MORTGAGE,10-09-2021,12-02-2021,12-02-2021,Fully Paid,12-03-2021,home improvement,Not Verified,30000.0,0.0072,211.09,0.1149,9600,15,10927,0,1,1.6,2021,9,10,4,2021,2,12,4,2021,2,12,4,2021,3,12,4,60
TX,Texas Health and Human Service Commissio,OWN,10-05-2021,13-05-2021,13-05-2021,Fully Paid,13-06-2021,Debt consolidation,Not Verified,36000.0,0.1377,493.67,0.1136,15000,31,17773,2,1,1.8,2021,5,10,0,2021,5,13,3,2021,5,13,3,2021,6,13,6,36
CA,Facebook,MORTGAGE,11-01-2021,12-12-2021,12-12-2021,Fully Paid,12-01-2022,credit card,Not Verified,125000.0,0.2123,303.27,0.0579,10000,29,10768,0,0,0.2,2021,1,11,0,2021,12,12,6,2021,12,12,6,2022,1,12,2,36
IL,Lake County High Schools Technology Camp,OWN,09-11-2021,16-05-2021,12-11-2021,Fully Paid,12-12-2021,Debt consolidation,Not Verified,135000.0,0.1278,827.33,0.2086,22000,65,29784,0,6,6.6,2021,11,9,1,2021,5,16,6,2021,11,12,4,2021,12,12,6,36
NY,Sports Training Physical Therapy,MORTGAGE,11-01-2021,14-02-2021,14-02-2021,Fully Paid,14-03-2021,Debt consolidation,Source Verified,75000.0,0.1771,342.11,0.1268,10200,15,12316,3,2,2.0,2021,1,11,0,2021,2,14,6,2021,2,14,6,2021,3,14,6,36
NY,"BDC Partners, LLC",RENT,11-04-2021,16-05-2021,14-11-2021,Fully Paid,14-12-2021,credit card,Source Verified,325000.0,0.0612,951.21,0.2122,35000,16,54132,5,6,6.6,2021,4,11,6,2021,5,16,6,2021,11,14,6,2021,12,14,1,60
NC,University of North Carolina,MORTGAGE,11-10-2021,14-10-2021,14-10-2021,Fully Paid,14-11-2021,credit card,Not Verified,38100.0,0.1506,122.04,0.079,3900,27,4393,6,0,0.6,2021,10,11,0,2021,10,14,3,2021,10,14,3,2021,11,14,6,36
OH,Cardinal Health,MORTGAGE,11-04-2021,13-12-2021,13-11-2021,Fully Paid,13-12-2021,small business,Not Verified,28000.0,0.2224,247.0,0.1417,10575,16,13692,1,2,2.8,2021,4,11,6,2021,12,13,0,2021,11,13,5,2021,12,13,0,60
MI,Wayne State University,MORTGAGE,11-02-2021,15-12-2021,13-07-2021,Fully Paid,13-08-2021,Debt consolidation,Verified,81000.0,0.1308,519.32,0.1677,21000,18,27868,2,4,4.2,2021,2,11,3,2021,12,15,2,2021,7,13,1,2021,8,13,4,60
NY,volland electric,RENT,07-12-2021,16-05-2021,09-08-2021,Charged Off,09-09-2021,Debt consolidation,Not Verified,27000.0,0.232,132.35,0.1217,3975,11,2529,10,3,3.2,2021,12,7,1,2021,5,16,6,2021,8,9,0,2021,9,9,3,36
TX,DFW Airport Police,MORTGAGE,11-02-2021,16-02-2021,14-11-2021,Fully Paid,14-12-2021,other,Verified,102000.0,0.2341,231.65,0.138,10000,33,13600,10,2,2.6,2021,2,11,3,2021,2,16,1,2021,11,14,6,2021,12,14,1,60
CA,"Fluid Surf II, Inc",RENT,08-10-2021,16-05-2021,09-03-2021,Charged Off,09-04-2021,small business,Not Verified,350000.0,0.0586,501.16,0.1241,15000,24,4006,1,2,2.4,2021,10,8,4,2021,5,16,6,2021,3,9,1,2021,4,9,4,36
IA,Prairie State Legal Services,MORTGAGE,10-05-2021,13-05-2021,13-06-2021,Fully Paid,13-07-2021,Debt consolidation,Not Verified,51996.0,0.246,297.04,0.0714,9600,28,10709,6,0,0.4,2021,5,10,0,2021,5,13,3,2021,6,13,6,2021,7,13,1,36
CA,501(c)3 nonprofit organization,RENT,11-06-2021,16-02-2021,16-01-2021,Fully Paid,16-02-2021,Debt consolidation,Verified,75000.0,0.1581,564.06,0.1599,23200,17,33682,2,3,3.2,2021,6,11,4,2021,2,16,1,2021,1,16,5,2021,2,16,1,60
MD,Social Security Administration (SSA),MORTGAGE,10-03-2021,14-07-2021,11-07-2021,Fully Paid,11-08-2021,Debt consolidation,Verified,77248.0,0.1748,736.65,0.1385,21600,34,24718,10,2,2.6,2021,3,10,2,2021,7,14,2,2021,7,11,6,2021,8,11,2,36
CA,Covenant Aviation LLC,RENT,11-03-2021,13-09-2021,13-06-2021,Charged Off,13-07-2021,Debt consolidation,Verified,41721.6,0.0964,498.6,0.1491,21000,13,13127,4,3,3.2,2021,3,11,3,2021,9,13,0,2021,6,13,6,2021,7,13,1,60
MO,Missouri Department of Corrections,MORTGAGE,10-08-2021,15-09-2021,15-09-2021,Fully Paid,15-10-2021,educational,Verified,41000.0,0.1853,156.98,0.1112,7200,27,9419,10,1,1.4,2021,8,10,1,2021,9,15,2,2021,9,15,2,2021,10,15,4,60
PA,The Man,MORTGAGE,09-11-2021,09-12-2021,09-12-2021,Fully Paid,09-01-2022,other,Not Verified,36000.0,0.0103,32.97,0.1148,1000,4,1010,0,1,1.2,2021,11,9,1,2021,12,9,3,2021,12,9,3,2022,1,9,6,36
SC,Michelin North America,MORTGAGE,11-08-2021,16-05-2021,14-08-2021,Fully Paid,14-09-2021,credit card,Not Verified,40000.0,0.1923,69.44,0.0849,2200,12,2500,3,0,0.8,2021,8,11,2,2021,5,16,6,2021,8,14,5,2021,9,14,1,36
