address_state,emp_title,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,purpose,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,emp_years,grade_numeric,sub_grade_numeric,issue_year,issue_month,issue_day,issue_weekday,last_credit_pull_year,last_credit_pull_month,last_credit_pull_day,last_credit_pull_weekday,last_payment_year,last_payment_month,last_payment_day,last_payment_weekday,next_payment_year,next_payment_month,next_payment_day,next_payment_weekday,term_months
TX,Ericsson,MORTGAGE,22-07-2021,13-09-2021,13-08-2021,Fully Paid,13-09-2021,car,Not Verified,75000.0,0.088,181.15,0.1269,5400,33,6277,10,1,1.8,2021,7,22,3,2021,9,13,0,2021,8,13,4,2021,9,13,0,36
CA,myrvpartsplace.com,RENT,11-09-2021,13-03-2021,12-10-2021,Charged Off,12-11-2021,car,Not Verified,75000.0,0.2288,374.26,0.1242,11200,13,4225,3,1,1.6,2021,9,11,5,2021,3,13,5,2021,10,12,1,2021,11,12,4,36
CA,AEG LIVE,RENT,11-08-2021,13-10-2021,13-09-2021,Fully Paid,13-10-2021,car,Not Verified,35000.0,0.0401,165.38,0.1171,5000,3,5728,4,1,1.4,2021,8,11,2,2021,10,13,2,2021,9,13,0,2021,10,13,2,36
CA,henkel corporation,RENT,11-12-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,car,Not Verified,48000.0,0.1533,268.36,0.1269,8000,15,9661,5,1,1.8,2021,12,11,5,2021,12,14,1,2021,12,14,1,2022,1,14,4,36
IL,AXA Assistance,RENT,11-10-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,car,Not Verified,92000.0,0.106,200.5,0.1242,6000,18,7218,4,1,1.6,2021,10,11,0,2021,12,14,1,2021,12,14,1,2022,1,14,4,36
RI,HSA-UWC,RENT,11-12-2021,14-02-2021,13-10-2021,Charged Off,13-11-2021,car,Source Verified,60000.0,0.063,400.99,0.1242,12000,14,9547,0,1,1.6,2021,12,11,5,2021,2,14,6,2021,10,13,2,2021,11,13,5,36
TX,Child's Day,RENT,02-12-2021,16-04-2021,14-12-2021,Fully Paid,14-01-2022,car,Verified,16800.0,0.035,98.29,0.0991,3050,8,3538,1,1,1.0,2021,12,2,3,2021,4,16,4,2021,12,14,1,2022,1,14,4,36
NY,OEC Freight,RENT,09-10-2021,15-09-2021,12-11-2021,Fully Paid,12-12-2021,car,Source Verified,40000.0,0.1869,343.09,0.1427,10000,7,11156,4,2,2.2,2021,10,9,5,2021,9,15,2,2021,11,12,4,2021,12,12,6,36
FL,Sandestin Beach Hilton,MORTGAGE,12-12-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,car,Verified,35000.0,0.1392,162.87,0.1065,5000,23,5863,10,1,1.2,2021,12,12,6,2021,12,14,1,2021,12,14,1,2022,1,14,4,36
MD,No title,OWN,02-02-2021,16-05-2021,15-02-2021,Fully Paid,15-03-2021,car,Not Verified,40000.0,0.0957,176.51,0.1629,5000,13,6361,10,3,3.0,2021,2,2,1,2021,5,16,6,2021,2,15,0,2021,3,15,0,36
WI,Norman G. Olson Insurance,RENT,07-07-2021,16-04-2021,10-08-2021,Fully Paid,10-09-2021,car,Not Verified,40000.0,0.0255,155.38,0.0743,5000,7,5594,6,0,0.2,2021,7,7,2,2021,4,16,4,2021,8,10,1,2021,9,10,4,36
FL,No title,MORTGAGE,08-01-2021,16-05-2021,10-02-2021,Charged Off,10-03-2021,car,Not Verified,120000.0,0.0767,69.14,0.0743,2225,20,2508,0,0,0.2,2021,1,8,4,2021,5,16,6,2021,2,10,2,2021,3,10,2,36
MI,"Infotrieve, Inc.",MORTGAGE,09-08-2021,16-05-2021,11-06-2021,Charged Off,11-07-2021,car,Not Verified,60000.0,0.1108,131.22,0.1114,4000,33,2755,0,1,1.0,2021,8,9,0,2021,5,16,6,2021,6,11,4,2021,7,11,6,36
MD,self employed,OWN,08-01-2021,09-12-2021,08-08-2021,Charged Off,08-09-2021,car,Not Verified,72000.0,0.0512,262.26,0.1109,8000,8,2135,4,2,2.2,2021,1,8,4,2021,12,9,3,2021,8,8,6,2021,9,8,2,36
NV,Clark County School District,MORTGAGE,11-01-2021,13-02-2021,12-08-2021,Charged Off,12-09-2021,car,Not Verified,70800.0,0.0795,77.95,0.0766,2500,39,1479,10,0,0.8,2021,1,11,0,2021,2,13,5,2021,8,12,3,2021,9,12,6,36
PA,The Mount Sinai School of Medicine,MORTGAGE,11-11-2021,13-11-2021,13-06-2021,Charged Off,13-07-2021,car,Not Verified,80000.0,0.0648,124.45,0.0751,4000,11,2479,6,0,0.4,2021,11,11,3,2021,11,13,5,2021,6,13,6,2021,7,13,1,36
GA,Blue Ridge Design Group,MORTGAGE,09-06-2021,16-05-2021,09-12-2021,Charged Off,09-01-2022,car,Not Verified,36000.0,0.15,385.14,0.0963,12000,24,2306,0,0,0.8,2021,6,9,2,2021,5,16,6,2021,12,9,3,2022,1,9,6,36
MI,Abbott Nutrition,MORTGAGE,09-10-2021,16-05-2021,12-02-2021,Charged Off,12-03-2021,car,Not Verified,45000.0,0.152,222.41,0.0894,7000,24,6446,10,0,0.8,2021,10,9,5,2021,5,16,6,2021,2,12,4,2021,3,12,4,36
MI,rice &werthmann,MORTGAGE,11-01-2021,16-05-2021,13-10-2021,Charged Off,13-11-2021,car,Not Verified,86400.0,0.0385,280.62,0.0766,9000,10,8945,3,0,0.8,2021,1,11,0,2021,5,16,6,2021,10,13,2,2021,11,13,5,36
UT,Five County Assoc of Governments,MORTGAGE,11-06-2021,16-05-2021,12-07-2021,Charged Off,12-08-2021,car,Not Verified,24600.0,0.0785,152.42,0.089,4800,21,1978,6,0,0.8,2021,6,11,4,2021,5,16,6,2021,7,12,0,2021,8,12,3,36
GA,north ga dentention center,MORTGAGE,10-01-2021,10-11-2021,10-07-2021,Charged Off,10-08-2021,car,Not Verified,30000.0,0.0992,164.85,0.1148,5000,19,884,0,1,1.2,2021,1,10,6,2021,11,10,2,2021,7,10,5,2021,8,10,1,36
WA,No title,MORTGAGE,11-05-2021,16-05-2021,13-01-2021,Charged Off,13-02-2021,car,Not Verified,48000.0,0.2357,197.83,0.1149,6000,27,3950,6,1,1.6,2021,5,11,1,2021,5,16,6,2021,1,13,2,2021,2,13,5,36
FL,sky powersports,MORTGAGE,11-11-2021,14-04-2021,13-12-2021,Charged Off,13-01-2022,car,Not Verified,60000.0,0.0366,217.32,0.1465,6300,10,5554,6,2,2.4,2021,11,11,3,2021,4,14,2,2021,12,13,0,2022,1,13,3,36
FL,Synovus Bank,MORTGAGE,10-03-2021,12-12-2021,12-07-2021,Charged Off,12-08-2021,car,Not Verified,34000.0,0.1486,210.07,0.157,6000,6,5986,2,3,3.6,2021,3,10,2,2021,12,12,6,2021,7,12,0,2021,8,12,3,36
GA,ACUMEN FISCAL AGENT/MS ROBINSON,OWN,10-05-2021,12-01-2021,11-08-2021,Charged Off,11-09-2021,car,Not Verified,18000.0,0.216,148.59,0.0788,4750,16,2216,0,0,0.8,2021,5,10,0,2021,1,12,1,2021,8,11,2,2021,9,11,5,36
CA,inspired automation inc,OWN,10-01-2021,12-03-2021,11-10-2021,Charged Off,11-11-2021,car,Not Verified,43800.0,0.0737,148.32,0.0705,4800,7,3210,10,0,0.0,2021,1,10,6,2021,3,12,4,2021,10,11,0,2021,11,11,3,36
NH,self,OWN,09-05-2021,11-06-2021,11-01-2021,Charged Off,11-02-2021,car,Not Verified,98736.0,0.0812,50.58,0.1189,9000,19,1045,10,1,1.6,2021,5,9,6,2021,6,11,4,2021,1,11,0,2021,2,11,3,36
TX,Able Electronics,OWN,11-04-2021,13-12-2021,13-07-2021,Charged Off,13-08-2021,car,Not Verified,48000.0,0.051,60.34,0.1074,1850,45,1655,1,1,1.6,2021,4,11,6,2021,12,13,0,2021,7,13,1,2021,8,13,4,36
PA,Abraxas I,OWN,09-07-2021,16-05-2021,09-10-2021,Charged Off,09-11-2021,car,Not Verified,27852.0,0.1021,141.2,0.1284,4200,28,282,0,2,2.2,2021,7,9,4,2021,5,16,6,2021,10,9,5,2021,11,9,1,36
CA,La curacao,RENT,11-06-2021,12-06-2021,12-02-2021,Charged Off,12-03-2021,car,Not Verified,48000.0,0.2585,186.61,0.0749,6000,16,1575,6,0,0.6,2021,6,11,4,2021,6,12,5,2021,2,12,4,2021,3,12,4,36
HI,Outback Steakhouse,RENT,11-10-2021,14-03-2021,13-10-2021,Charged Off,13-11-2021,car,Not Verified,30000.0,0.1872,228.63,0.089,7200,25,5845,7,0,0.8,2021,10,11,0,2021,3,14,6,2021,10,13,2,2021,11,13,5,36
WA,URS corp,RENT,11-06-2021,14-04-2021,13-11-2021,Charged Off,13-12-2021,car,Not Verified,22800.0,0.0526,75.76,0.0849,2400,3,2278,3,0,0.8,2021,6,11,4,2021,4,14,2,2021,11,13,5,2021,12,13,0,36
FL,walmart,RENT,09-12-2021,11-04-2021,10-11-2021,Charged Off,10-12-2021,car,Not Verified,12720.0,0.0,231.75,0.0705,7500,9,2073,1,0,0.0,2021,12,9,3,2021,4,11,6,2021,11,10,2,2021,12,10,4,36
MA,EdgeStream Inc,RENT,10-03-2021,16-04-2021,11-03-2021,Charged Off,11-04-2021,car,Not Verified,31000.0,0.0159,182.66,0.1136,5550,5,2083,5,1,1.8,2021,3,10,2,2021,4,16,4,2021,3,11,3,2021,4,11,6,36
NV,MAD MATT'S Bar & Grille,RENT,09-11-2021,11-11-2021,11-07-2021,Charged Off,11-08-2021,car,Not Verified,89650.0,0.0056,725.31,0.1148,22000,19,15424,8,1,1.2,2021,11,9,1,2021,11,11,3,2021,7,11,6,2021,8,11,2,36
OK,Dominos Pizza,RENT,11-05-2021,15-02-2021,12-06-2021,Charged Off,12-07-2021,car,Not Verified,45000.0,0.1464,332.1,0.1199,10000,18,4553,3,1,1.8,2021,5,11,1,2021,2,15,0,2021,6,12,5,2021,7,12,0,36
NJ,Pesci Family,RENT,09-03-2021,11-07-2021,11-03-2021,Charged Off,11-04-2021,car,Not Verified,39996.0,0.2298,261.71,0.1095,8000,43,6197,10,1,1.0,2021,3,9,1,2021,7,11,6,2021,3,11,3,2021,4,11,6,36
OH,Forum Health,RENT,10-05-2021,16-05-2021,11-12-2021,Charged Off,11-01-2022,car,Not Verified,49800.0,0.174,163.68,0.1099,5000,13,3110,0,1,1.6,2021,5,10,0,2021,5,16,6,2021,12,11,5,2022,1,11,1,36
IL,River Trails Park District,RENT,09-05-2021,12-03-2021,11-10-2021,Charged Off,11-11-2021,car,Not Verified,15000.0,0.1688,106.61,0.1221,3200,19,3140,8,1,1.8,2021,5,9,6,2021,3,12,4,2021,10,11,0,2021,11,11,3,36
CA,DMS Marketing,RENT,08-10-2021,16-05-2021,09-09-2021,Charged Off,09-10-2021,car,Not Verified,48000.0,0.1753,200.47,0.1241,6000,14,5104,2,2,2.4,2021,10,8,4,2021,5,16,6,2021,9,9,3,2021,10,9,5,36
TX,Nesle,RENT,08-03-2021,10-12-2021,10-08-2021,Charged Off,10-09-2021,car,Not Verified,37440.0,0.0772,98.7,0.1134,3000,14,2798,0,2,2.2,2021,3,8,0,2021,12,10,4,2021,8,10,1,2021,9,10,4,36
AZ,24 hour fitness,RENT,11-08-2021,16-05-2021,13-05-2021,Charged Off,13-06-2021,car,Not Verified,105000.0,0.135,382.74,0.1399,11200,29,8037,7,2,2.4,2021,8,11,2,2021,5,16,6,2021,5,13,3,2021,6,13,6,36
FL,Starbucks,RENT,08-11-2021,11-01-2021,10-08-2021,Charged Off,10-09-2021,car,Not Verified,15000.0,0.14,136.08,0.1367,4000,13,2685,2,3,3.2,2021,11,8,0,2021,1,11,0,2021,8,10,1,2021,9,10,4,36
CA,URS Corp,RENT,11-12-2021,16-05-2021,14-03-2021,Charged Off,14-04-2021,car,Not Verified,59100.0,0.1287,106.62,0.1677,3000,13,2772,4,3,3.2,2021,12,11,5,2021,5,16,6,2021,3,14,6,2021,4,14,2,36
NY,Berean Group,MORTGAGE,11-04-2021,14-03-2021,13-10-2021,Charged Off,13-11-2021,car,Not Verified,126000.0,0.1529,193.61,0.1,6000,22,5796,4,1,1.2,2021,4,11,6,2021,3,14,6,2021,10,13,2,2021,11,13,5,36
WI,Tideway Systems,MORTGAGE,07-09-2021,07-08-2021,08-04-2021,Fully Paid,08-05-2021,car,Not Verified,173000.0,0.0072,313.67,0.0807,10000,41,10435,0,0,0.6,2021,9,7,1,2021,8,7,5,2021,4,8,3,2021,5,8,5,36
CT,mdm golf,MORTGAGE,08-03-2021,11-01-2021,10-10-2021,Fully Paid,10-11-2021,car,Not Verified,60000.0,0.0894,316.28,0.0863,10000,27,11340,0,0,0.8,2021,3,8,0,2021,1,11,0,2021,10,10,6,2021,11,10,2,36
TX,"NetVida Marketing, Inc.",MORTGAGE,08-02-2021,10-05-2021,10-05-2021,Fully Paid,10-06-2021,car,Not Verified,40000.0,0.1872,257.24,0.0976,8000,35,9149,5,1,1.2,2021,2,8,0,2021,5,10,0,2021,5,10,0,2021,6,10,3,36
NJ,CK General Construction,MORTGAGE,08-02-2021,12-09-2021,11-02-2021,Fully Paid,11-03-2021,car,Not Verified,200000.0,0.0484,192.93,0.0976,6000,22,6945,9,1,1.2,2021,2,8,0,2021,9,12,6,2021,2,11,3,2021,3,11,3,36
MN,Ramsey County,MORTGAGE,08-01-2021,11-01-2021,11-02-2021,Fully Paid,11-03-2021,car,Not Verified,72000.0,0.2257,170.72,0.1393,5000,44,6146,10,4,4.0,2021,1,8,4,2021,1,11,0,2021,2,11,3,2021,3,11,3,36
WA,Central Washington Hospital,OWN,08-02-2021,10-09-2021,10-09-2021,Fully Paid,10-10-2021,car,Not Verified,10000.0,0.0,142.33,0.0863,4500,6,5096,2,0,0.8,2021,2,8,0,2021,9,10,4,2021,9,10,4,2021,10,10,6,36
CA,Comerica Bank,RENT,08-01-2021,10-02-2021,10-02-2021,Fully Paid,10-03-2021,car,Not Verified,62000.0,0.1407,345.06,0.0807,11000,23,12247,10,0,0.6,2021,1,8,4,2021,2,10,2,2021,2,10,2,2021,3,10,2,36
MA,Lexington Alarm Systems,RENT,08-01-2021,16-04-2021,10-04-2021,Fully Paid,10-05-2021,car,Not Verified,28800.0,0.0,108.27,0.0712,3500,5,3863,0,0,0.0,2021,1,8,4,2021,4,16,4,2021,4,10,5,2021,5,10,0,36
CO,Arborist Services,RENT,08-02-2021,10-09-2021,10-09-2021,Fully Paid,10-10-2021,car,Not Verified,50000.0,0.0506,194.91,0.1046,6000,21,6982,2,1,1.8,2021,2,8,0,2021,9,10,4,2021,9,10,4,2021,10,10,6,36
WA,Evergreen Treatment Services,RENT,08-01-2021,11-01-2021,11-01-2021,Fully Paid,11-02-2021,car,Not Verified,37000.0,0.1674,175.42,0.092,5500,36,6320,3,1,1.0,2021,1,8,4,2021,1,11,0,2021,1,11,0,2021,2,11,3,36
TN,Church of God of Prophecy,RENT,08-03-2021,11-03-2021,11-03-2021,Fully Paid,11-04-2021,car,Not Verified,54263.0,0.1238,115.69,0.1166,3500,23,4164,0,2,2.4,2021,3,8,0,2021,3,11,3,2021,3,11,3,2021,4,11,6,36
VA,Starbucks,RENT,07-08-2021,11-06-2021,10-08-2021,Fully Paid,10-09-2021,car,Not Verified,18000.0,0.18,130.79,0.1091,4000,5,4708,1,2,2.4,2021,8,7,5,2021,6,11,4,2021,8,10,1,2021,9,10,4,36
VA,Comcast,RENT,08-02-2021,16-05-2021,10-06-2021,Fully Paid,10-07-2021,car,Not Verified,41000.0,0.1692,98.26,0.1103,3000,16,3498,2,2,2.0,2021,2,8,0,2021,5,16,6,2021,6,10,3,2021,7,10,5,36
CT,Newcomb Spring,MORTGAGE,09-10-2021,16-02-2021,12-10-2021,Fully Paid,12-11-2021,car,Not Verified,85000.0,0.0239,136.66,0.074,4400,19,4920,1,0,0.2,2021,10,9,5,2021,2,16,1,2021,10,12,1,2021,11,12,4,36
GA,Chemlink Laboratories,MORTGAGE,09-05-2021,12-05-2021,12-05-2021,Fully Paid,12-06-2021,car,Not Verified,28500.0,0.0223,265.13,0.0768,8500,10,9544,1,0,0.2,2021,5,9,6,2021,5,12,2,2021,5,12,2,2021,6,12,5,36
TX,Jesuit College Preparatory School,MORTGAGE,09-01-2021,11-02-2021,11-02-2021,Fully Paid,11-03-2021,car,Not Verified,40308.0,0.0578,155.96,0.0768,5000,19,5422,1,0,0.2,2021,1,9,5,2021,2,11,3,2021,2,11,3,2021,3,11,3,36
TX,Diamond Offshore,MORTGAGE,11-10-2021,14-10-2021,14-10-2021,Fully Paid,14-11-2021,car,Not Verified,149400.0,0.0994,214.93,0.0662,7000,43,7737,1,0,0.2,2021,10,11,0,2021,10,14,3,2021,10,14,3,2021,11,14,6,36
WI,BRP US Inc,MORTGAGE,11-06-2021,14-06-2021,14-06-2021,Fully Paid,14-07-2021,car,Not Verified,54000.0,0.1129,60.84,0.0599,2000,18,2190,1,0,0.2,2021,6,11,4,2021,6,14,0,2021,6,14,0,2021,7,14,2,36
OH,Independant Contractor,MORTGAGE,11-05-2021,16-05-2021,14-05-2021,Fully Paid,14-06-2021,car,Not Verified,38400.0,0.0319,74.1,0.0699,2400,7,2667,1,0,0.4,2021,5,11,1,2021,5,16,6,2021,5,14,4,2021,6,14,0,36
MO,Northwwind Engineering,MORTGAGE,11-06-2021,14-06-2021,14-06-2021,Fully Paid,14-07-2021,car,Not Verified,60000.0,0.0242,149.29,0.0749,4800,6,5374,1,0,0.6,2021,6,11,4,2021,6,14,0,2021,6,14,0,2021,7,14,2,36
RI,Fakouri Electrical,MORTGAGE,11-01-2021,14-01-2021,14-01-2021,Fully Paid,14-02-2021,car,Not Verified,58000.0,0.2127,124.04,0.0729,4000,24,4466,1,0,0.6,2021,1,11,0,2021,1,14,3,2021,1,14,3,2021,2,14,6,36
MD,Second Empire Furniture Inc.,MORTGAGE,10-12-2021,14-10-2021,13-12-2021,Fully Paid,13-01-2022,car,Not Verified,31000.0,0.0283,241.28,0.0542,8000,17,8686,10,0,0.0,2021,12,10,4,2021,10,14,3,2021,12,13,0,2022,1,13,3,36
MO,state of missouri department of correcti,MORTGAGE,11-06-2021,11-07-2021,11-08-2021,Fully Paid,11-09-2021,car,Not Verified,33600.0,0.0161,90.48,0.0542,3000,15,3014,10,0,0.0,2021,6,11,4,2021,7,11,6,2021,8,11,2,2021,9,11,5,36
CA,"Stafford Meat Co., Inc.",MORTGAGE,11-10-2021,16-05-2021,14-10-2021,Fully Paid,14-11-2021,car,Not Verified,64320.0,0.025,243.49,0.0603,8000,17,8765,10,0,0.0,2021,10,11,0,2021,5,16,6,2021,10,14,3,2021,11,14,6,36
RI,Local 51,MORTGAGE,11-06-2021,16-04-2021,14-07-2021,Fully Paid,14-08-2021,car,Not Verified,79200.0,0.0218,150.8,0.0542,5000,28,5429,10,0,0.0,2021,6,11,4,2021,4,16,4,2021,7,14,2,2021,8,14,5,36
DE,Bank of America,MORTGAGE,11-09-2021,16-05-2021,14-04-2021,Fully Paid,14-05-2021,car,Not Verified,63996.0,0.0651,96.52,0.0542,3200,26,3468,10,0,0.0,2021,9,11,5,2021,5,16,6,2021,4,14,2,2021,5,14,4,36
NY,operating engineers local 158,MORTGAGE,11-03-2021,11-09-2021,11-09-2021,Fully Paid,11-10-2021,car,Not Verified,72000.0,0.2075,223.19,0.0542,7400,23,7556,10,0,0.0,2021,3,11,3,2021,9,11,5,2021,9,11,5,2021,10,11,0,36
PA,williams service co,MORTGAGE,11-11-2021,14-11-2021,14-12-2021,Fully Paid,14-01-2022,car,Not Verified,72000.0,0.1782,152.18,0.0603,5000,37,5478,10,0,0.0,2021,11,11,3,2021,11,14,6,2021,12,14,1,2022,1,14,4,36
NM,"C&E Concrete,inc.",MORTGAGE,11-09-2021,14-09-2021,14-10-2021,Fully Paid,14-11-2021,car,Not Verified,41784.0,0.1872,152.18,0.0603,5000,22,5478,10,0,0.0,2021,9,11,5,2021,9,14,1,2021,10,14,3,2021,11,14,6,36
TX,BASF Corporation,MORTGAGE,11-10-2021,16-05-2021,13-10-2021,Fully Paid,13-11-2021,car,Not Verified,96000.0,0.238,182.62,0.0603,6000,27,6493,10,0,0.0,2021,10,11,0,2021,5,16,6,2021,10,13,2,2021,11,13,5,36
NY,village of solvay dpw,MORTGAGE,11-10-2021,16-04-2021,14-08-2021,Fully Paid,14-09-2021,car,Not Verified,54000.0,0.2407,182.62,0.0603,6000,32,6569,10,0,0.0,2021,10,11,0,2021,4,16,4,2021,8,14,5,2021,9,14,1,36
NV,Gideon Toal/U.P.R Inc.,MORTGAGE,11-02-2021,14-04-2021,14-03-2021,Fully Paid,14-04-2021,car,Not Verified,36000.0,0.2293,271.44,0.0542,9000,47,9772,10,0,0.0,2021,2,11,3,2021,4,14,2,2021,3,14,6,2021,4,14,2,36
MN,City of West St Paul,MORTGAGE,11-10-2021,16-05-2021,14-11-2021,Fully Paid,14-12-2021,car,Not Verified,114000.0,0.1658,219.14,0.0603,7200,52,7889,10,0,0.0,2021,10,11,0,2021,5,16,6,2021,11,14,6,2021,12,14,1,36
TX,Harris County,MORTGAGE,11-09-2021,16-05-2021,13-08-2021,Fully Paid,13-09-2021,car,Not Verified,48000.0,0.1732,170.41,0.0542,5650,32,6067,10,0,0.0,2021,9,11,5,2021,5,16,6,2021,8,13,4,2021,9,13,0,36
LA,LSU MEDICAL CENTER OF LOUISIANA,MORTGAGE,11-06-2021,12-01-2021,12-01-2021,Fully Paid,12-02-2021,car,Not Verified,39600.0,0.1406,182.51,0.0599,6000,32,6194,10,0,0.2,2021,6,11,4,2021,1,12,1,2021,1,12,1,2021,2,12,4,36
NJ,ABERDEEN TWSP,MORTGAGE,10-07-2021,16-05-2021,13-08-2021,Fully Paid,13-09-2021,car,Not Verified,108000.0,0.1976,107.69,0.0676,3500,37,3877,10,0,0.2,2021,7,10,5,2021,5,16,6,2021,8,13,4,2021,9,13,0,36
FL,Micros Systems Inc.,MORTGAGE,10-07-2021,16-05-2021,13-07-2021,Fully Paid,13-08-2021,car,Not Verified,57431.0,0.0618,123.07,0.0676,4000,21,4431,10,0,0.2,2021,7,10,5,2021,5,16,6,2021,7,13,1,2021,8,13,4,36
AR,Arkansas Department Of Correction,MORTGAGE,11-11-2021,15-12-2021,14-12-2021,Fully Paid,14-01-2022,car,Not Verified,32468.8,0.2935,186.67,0.0751,6000,16,6714,10,0,0.4,2021,11,11,3,2021,12,15,2,2021,12,14,1,2022,1,14,4,36
AR,Kroger,MORTGAGE,09-11-2021,12-11-2021,12-11-2021,Fully Paid,12-12-2021,car,Not Verified,26000.0,0.0429,218.54,0.0774,7000,11,7867,10,0,0.4,2021,11,9,1,2021,11,12,4,2021,11,12,4,2021,12,12,6,36
OH,Alliance Data Systems,MORTGAGE,09-10-2021,14-06-2021,12-03-2021,Fully Paid,12-04-2021,car,Not Verified,75000.0,0.0234,156.1,0.0774,5000,21,5584,10,0,0.4,2021,10,9,5,2021,6,14,0,2021,3,12,4,2021,4,12,0,36
KY,City of Madisonville,MORTGAGE,11-11-2021,16-05-2021,14-08-2021,Fully Paid,14-09-2021,car,Not Verified,58000.0,0.2692,56.0,0.0751,1800,28,2013,10,0,0.4,2021,11,11,3,2021,5,16,6,2021,8,14,5,2021,9,14,1,36
NC,RCCG - Victory Temple,MORTGAGE,11-04-2021,15-11-2021,14-04-2021,Fully Paid,14-05-2021,car,Not Verified,50000.0,0.203,308.41,0.0692,10000,32,11103,10,0,0.4,2021,4,11,6,2021,11,15,0,2021,4,14,2,2021,5,14,4,36
OH,Atkins and Pearce,MORTGAGE,11-02-2021,14-02-2021,14-02-2021,Fully Paid,14-03-2021,car,Not Verified,48000.0,0.1988,201.57,0.0729,6500,24,7257,10,0,0.6,2021,2,11,3,2021,2,14,6,2021,2,14,6,2021,3,14,6,36
CA,Orchard Supply Hardware,MORTGAGE,11-05-2021,12-12-2021,12-12-2021,Fully Paid,12-01-2022,car,Not Verified,73000.0,0.1433,155.51,0.0749,5000,23,5312,10,0,0.6,2021,5,11,1,2021,12,12,6,2021,12,12,6,2022,1,12,2,36
CT,Custom Phone Inc,MORTGAGE,11-07-2021,12-11-2021,12-11-2021,Fully Paid,12-12-2021,car,Not Verified,68000.0,0.0286,248.82,0.0749,8000,13,8615,10,0,0.6,2021,7,11,6,2021,11,12,4,2021,11,12,4,2021,12,12,6,36
GA,Greif LLC,MORTGAGE,11-05-2021,14-08-2021,14-06-2021,Fully Paid,14-07-2021,car,Not Verified,112992.0,0.1825,248.82,0.0749,8000,25,8957,10,0,0.6,2021,5,11,1,2021,8,14,5,2021,6,14,0,2021,7,14,2,36
